ticker,Date,close,action
SH600025,2020-07-01,3.78,Buy to Open
SH600029,2020-07-01,5.2,Short Sell
SH600115,2020-07-01,4.25,Short Sell
SH600118,2020-07-01,30.98,Short Sell
SH600183,2020-07-01,29.1,Buy to Open
SH600276,2020-07-01,91.05,Buy to Open
SH600406,2020-07-01,20.26,Buy to Open
SH600482,2020-07-01,15.75,Short Sell
SH600498,2020-07-01,28.94,Buy to Open
SH600588,2020-07-01,47.2,Buy to Open
SH600690,2020-07-01,17.95,Buy to Open
SH600760,2020-07-01,33.8,Short Sell
SH600867,2020-07-01,16.86,Buy to Open
SH600886,2020-07-01,7.93,Buy to Open
SH601018,2020-07-01,3.59,Buy to Open
SH601066,2020-07-01,39.42,Short Sell
SH601111,2020-07-01,6.65,Short Sell
SH601162,2020-07-01,6.13,Short Sell
SH601212,2020-07-01,2.59,Short Sell
SH601236,2020-07-01,19.36,Short Sell
SH601298,2020-07-01,5.74,Short Sell
SH601377,2020-07-01,6.84,Short Sell
SH601633,2020-07-01,7.94,Short Sell
SH601688,2020-07-01,19.28,Buy to Open
SH601828,2020-07-01,10.64,Short Sell
SH601877,2020-07-01,26.09,Buy to Open
SH601881,2020-07-01,11.95,Buy to Open
SH601919,2020-07-01,3.51,Short Sell
SH601998,2020-07-01,5.31,Short Sell
SH603259,2020-07-01,94.77,Buy to Open
SH603501,2020-07-01,207.68,Buy to Open
SH603899,2020-07-01,56.82,Short Sell
SH603986,2020-07-01,237.12,Buy to Open
SZ000538,2020-07-01,93.04,Buy to Open
SZ000596,2020-07-01,163.2,Buy to Open
SZ000625,2020-07-01,11.06,Buy to Open
SZ000627,2020-07-01,5.21,Buy to Open
SZ000656,2020-07-01,8.98,Buy to Open
SZ000723,2020-07-01,6.28,Short Sell
SZ000725,2020-07-01,4.65,Short Sell
SZ000783,2020-07-01,6.88,Buy to Open
SZ000938,2020-07-01,43.67,Buy to Open
SZ002120,2020-07-01,24.88,Short Sell
SZ002311,2020-07-01,47.83,Buy to Open
SZ002352,2020-07-01,55.18,Buy to Open
SZ002456,2020-07-01,18.91,Short Sell
SZ002468,2020-07-01,16.67,Short Sell
SZ002475,2020-07-01,51.7,Short Sell
SZ002916,2020-07-01,168.99,Short Sell
SZ300122,2020-07-01,97.45,Short Sell
SZ300142,2020-07-01,51.78,Buy to Open
SZ300144,2020-07-01,17.64,Buy to Open
SZ300433,2020-07-01,29.25,Short Sell
SZ300498,2020-07-01,22.31,Short Sell
SH600004,2020-07-07,16.1,Short Sell
SH600025,2020-07-07,3.9,Sell to Close
SH600029,2020-07-07,5.6,Buy to Cover
SH600029,2020-07-07,5.6,Buy to Open
SH600036,2020-07-07,41.06,Buy to Open
SH600115,2020-07-07,4.61,Buy to Cover
SH600115,2020-07-07,4.61,Buy to Open
SH600118,2020-07-07,33.72,Buy to Cover
SH600183,2020-07-07,31.78,Sell to Close
SH600233,2020-07-07,15.95,Short Sell
SH600276,2020-07-07,97.29,Sell to Close
SH600346,2020-07-07,15.5,Buy to Open
SH600406,2020-07-07,21.67,Sell to Close
SH600482,2020-07-07,17.12,Buy to Cover
SH600498,2020-07-07,32.35,Sell to Close
SH600516,2020-07-07,7.2,Buy to Open
SH600588,2020-07-07,51.0,Sell to Close
SH600655,2020-07-07,10.23,Short Sell
SH600660,2020-07-07,22.6,Buy to Open
SH600690,2020-07-07,18.59,Sell to Close
SH600703,2020-07-07,27.35,Short Sell
SH600760,2020-07-07,42.61,Buy to Cover
SH600795,2020-07-07,1.98,Short Sell
SH600867,2020-07-07,16.91,Sell to Close
SH600867,2020-07-07,16.91,Short Sell
SH600886,2020-07-07,8.37,Sell to Close
SH600968,2020-07-07,2.76,Buy to Open
SH600989,2020-07-07,9.13,Buy to Open
SH601018,2020-07-07,4.01,Sell to Close
SH601111,2020-07-07,7.31,Buy to Cover
SH601117,2020-07-07,6.03,Short Sell
SH601162,2020-07-07,7.46,Buy to Cover
SH601212,2020-07-07,2.99,Buy to Cover
SH601216,2020-07-07,2.91,Buy to Open
SH601236,2020-07-07,23.21,Buy to Cover
SH601298,2020-07-07,6.28,Buy to Cover
SH601298,2020-07-07,6.28,Buy to Open
SH601318,2020-07-07,83.22,Buy to Open
SH601319,2020-07-07,7.99,Buy to Open
SH601336,2020-07-07,56.7,Buy to Open
SH601398,2020-07-07,5.56,Buy to Open
SH601601,2020-07-07,32.7,Buy to Open
SH601628,2020-07-07,37.29,Buy to Open
SH601633,2020-07-07,8.93,Buy to Cover
SH601633,2020-07-07,8.93,Buy to Open
SH601688,2020-07-07,23.27,Sell to Close
SH601698,2020-07-07,19.15,Short Sell
SH601808,2020-07-07,14.4,Buy to Open
SH601828,2020-07-07,10.53,Buy to Cover
SH601877,2020-07-07,26.71,Sell to Close
SH601881,2020-07-07,15.55,Sell to Close
SH601919,2020-07-07,4.17,Buy to Cover
SH601985,2020-07-07,4.47,Short Sell
SH601998,2020-07-07,5.9,Buy to Cover
SH603156,2020-07-07,25.74,Buy to Open
SH603160,2020-07-07,257.11,Short Sell
SH603259,2020-07-07,95.72,Sell to Close
SH603501,2020-07-07,229.93,Sell to Close
SH603501,2020-07-07,229.93,Short Sell
SH603799,2020-07-07,43.7,Short Sell
SH603899,2020-07-07,58.28,Buy to Cover
SH603986,2020-07-07,266.12,Sell to Close
SH603986,2020-07-07,266.12,Short Sell
SZ000538,2020-07-07,108.73,Sell to Close
SZ000596,2020-07-07,170.89,Sell to Close
SZ000596,2020-07-07,170.89,Short Sell
SZ000625,2020-07-07,12.95,Sell to Close
SZ000627,2020-07-07,6.09,Sell to Close
SZ000656,2020-07-07,9.44,Sell to Close
SZ000703,2020-07-07,9.98,Buy to Open
SZ000723,2020-07-07,6.88,Buy to Cover
SZ000783,2020-07-07,8.52,Sell to Close
SZ000938,2020-07-07,49.2,Sell to Close
SZ002007,2020-07-07,47.06,Buy to Open
SZ002008,2020-07-07,37.98,Short Sell
SZ002050,2020-07-07,24.34,Short Sell
SZ002153,2020-07-07,40.71,Buy to Open
SZ002230,2020-07-07,40.4,Short Sell
SZ002252,2020-07-07,8.88,Buy to Open
SZ002352,2020-07-07,61.36,Sell to Close
SZ002410,2020-07-07,69.0,Buy to Open
SZ002456,2020-07-07,19.92,Buy to Cover
SZ002466,2020-07-07,25.81,Short Sell
SZ002468,2020-07-07,17.61,Buy to Cover
SZ002475,2020-07-07,54.7,Buy to Cover
SZ002493,2020-07-07,14.51,Buy to Open
SZ002594,2020-07-07,83.0,Short Sell
SZ002602,2020-07-07,17.06,Short Sell
SZ002958,2020-07-07,6.63,Buy to Open
SZ300059,2020-07-07,23.58,Short Sell
SZ300122,2020-07-07,99.65,Buy to Cover
SZ300142,2020-07-07,52.15,Sell to Close
SZ300144,2020-07-07,18.61,Sell to Close
SZ300433,2020-07-07,29.89,Buy to Cover
SH600009,2020-07-13,73.9,Buy to Open
SH600011,2020-07-13,4.74,Buy to Open
SH600018,2020-07-13,4.89,Short Sell
SH600027,2020-07-13,3.8,Buy to Open
SH600028,2020-07-13,4.17,Short Sell
SH600029,2020-07-13,5.7,Sell to Close
SH600036,2020-07-13,37.3,Sell to Close
SH600061,2020-07-13,16.74,Short Sell
SH600066,2020-07-13,13.82,Short Sell
SH600089,2020-07-13,7.62,Buy to Open
SH600104,2020-07-13,19.24,Short Sell
SH600109,2020-07-13,15.93,Buy to Open
SH600115,2020-07-13,4.68,Sell to Close
SH600233,2020-07-13,15.82,Buy to Cover
SH600233,2020-07-13,15.82,Buy to Open
SH600346,2020-07-13,15.64,Sell to Close
SH600390,2020-07-13,8.66,Short Sell
SH600406,2020-07-13,22.02,Short Sell
SH600516,2020-07-13,7.68,Sell to Close
SH600655,2020-07-13,11.85,Buy to Cover
SH600703,2020-07-13,29.98,Buy to Cover
SH600809,2020-07-13,163.96,Short Sell
SH600867,2020-07-13,17.43,Buy to Cover
SH600867,2020-07-13,17.43,Buy to Open
SH600886,2020-07-13,8.86,Buy to Open
SH600926,2020-07-13,9.93,Buy to Open
SH600968,2020-07-13,2.65,Sell to Close
SH600989,2020-07-13,9.32,Sell to Close
SH601021,2020-07-13,39.59,Buy to Open
SH601066,2020-07-13,51.3,Buy to Cover
SH601066,2020-07-13,51.3,Buy to Open
SH601088,2020-07-13,16.61,Buy to Open
SH601100,2020-07-13,59.98,Short Sell
SH601117,2020-07-13,6.33,Buy to Cover
SH601216,2020-07-13,3.16,Sell to Close
SH601298,2020-07-13,7.27,Sell to Close
SH601398,2020-07-13,5.21,Sell to Close
SH601628,2020-07-13,40.28,Sell to Close
SH601633,2020-07-13,10.39,Sell to Close
SH601688,2020-07-13,23.49,Buy to Open
SH601698,2020-07-13,23.66,Buy to Cover
