ticker,Date,close,action
SH600004,2020-07-06,16.36,Short Sell
SH600025,2020-07-06,3.98,Buy to Open
SH600061,2020-07-06,15.37,Short Sell
SH600109,2020-07-06,15.35,Short Sell
SH600118,2020-07-06,33.65,Short Sell
SH600176,2020-07-06,10.09,Buy to Open
SH600196,2020-07-06,35.33,Short Sell
SH600233,2020-07-06,15.51,Short Sell
SH600346,2020-07-06,15.35,Buy to Open
SH600352,2020-07-06,14.1,Buy to Open
SH600588,2020-07-06,48.21,Buy to Open
SH600660,2020-07-06,23.0,Buy to Open
SH600703,2020-07-06,27.35,Short Sell
SH600837,2020-07-06,16.29,Short Sell
SH600867,2020-07-06,16.73,Short Sell
SH600968,2020-07-06,2.69,Buy to Open
SH600977,2020-07-06,14.36,Buy to Open
SH601066,2020-07-06,52.4,Short Sell
SH601088,2020-07-06,16.9,Buy to Open
SH601162,2020-07-06,7.82,Short Sell
SH601318,2020-07-06,84.12,Buy to Open
SH601328,2020-07-06,5.67,Short Sell
SH601336,2020-07-06,55.61,Buy to Open
SH601360,2020-07-06,20.22,Buy to Open
SH601601,2020-07-06,33.72,Buy to Open
SH601628,2020-07-06,36.34,Buy to Open
SH601698,2020-07-06,19.0,Short Sell
SH601788,2020-07-06,23.13,Short Sell
SH601808,2020-07-06,14.68,Buy to Open
SH601881,2020-07-06,15.13,Short Sell
SZ000063,2020-07-06,44.64,Short Sell
SZ000661,2020-07-06,407.21,Buy to Open
SZ000703,2020-07-06,9.91,Buy to Open
SZ000725,2020-07-06,5.01,Short Sell
SZ000895,2020-07-06,47.03,Buy to Open
SZ002001,2020-07-06,29.22,Buy to Open
SZ002007,2020-07-06,46.4,Buy to Open
SZ002120,2020-07-06,25.64,Short Sell
SZ002153,2020-07-06,39.7,Buy to Open
SZ002311,2020-07-06,47.48,Buy to Open
SZ002352,2020-07-06,56.78,Short Sell
SZ002410,2020-07-06,67.5,Buy to Open
SZ002468,2020-07-06,17.4,Short Sell
SZ002493,2020-07-06,13.96,Buy to Open
SZ002508,2020-07-06,35.84,Short Sell
SZ002594,2020-07-06,80.9,Short Sell
SZ002602,2020-07-06,16.1,Short Sell
SZ002624,2020-07-06,55.53,Buy to Open
SZ002916,2020-07-06,175.98,Short Sell
SZ002938,2020-07-06,49.77,Buy to Open
SZ300059,2020-07-06,24.8,Short Sell
SZ300122,2020-07-06,95.51,Short Sell
SZ300413,2020-07-06,60.57,Buy to Open
SZ300498,2020-07-06,23.79,Short Sell
SH600000,2020-07-10,11.6,Buy to Open
SH600004,2020-07-10,16.57,Buy to Cover
SH600009,2020-07-10,75.55,Buy to Open
SH600010,2020-07-10,1.22,Short Sell
SH600025,2020-07-10,3.94,Sell to Close
SH600027,2020-07-10,3.75,Buy to Open
SH600028,2020-07-10,4.13,Short Sell
SH600061,2020-07-10,17.34,Buy to Cover
SH600089,2020-07-10,7.32,Buy to Open
SH600109,2020-07-10,15.66,Buy to Cover
SH600118,2020-07-10,35.7,Buy to Cover
SH600176,2020-07-10,9.79,Sell to Close
SH600183,2020-07-10,33.1,Short Sell
SH600196,2020-07-10,35.54,Buy to Cover
SH600221,2020-07-10,1.73,Buy to Open
SH600233,2020-07-10,15.69,Buy to Cover
SH600346,2020-07-10,15.62,Sell to Close
SH600352,2020-07-10,13.81,Sell to Close
SH600406,2020-07-10,22.0,Short Sell
SH600588,2020-07-10,52.08,Sell to Close
SH600703,2020-07-10,28.28,Buy to Cover
SH600705,2020-07-10,5.0,Short Sell
SH600795,2020-07-10,1.97,Short Sell
SH600837,2020-07-10,15.6,Buy to Cover
SH600900,2020-07-10,18.89,Buy to Open
SH600968,2020-07-10,2.61,Sell to Close
SH601021,2020-07-10,39.34,Buy to Open
SH601066,2020-07-10,50.5,Buy to Cover
SH601088,2020-07-10,16.46,Sell to Close
SH601138,2020-07-10,16.03,Short Sell
SH601162,2020-07-10,8.06,Buy to Cover
SH601231,2020-07-10,24.55,Short Sell
SH601238,2020-07-10,9.64,Short Sell
SH601319,2020-07-10,7.64,Buy to Open
SH601328,2020-07-10,5.42,Buy to Cover
SH601360,2020-07-10,20.6,Sell to Close
SH601377,2020-07-10,9.93,Short Sell
SH601390,2020-07-10,5.78,Short Sell
SH601601,2020-07-10,31.7,Sell to Close
SH601628,2020-07-10,40.9,Sell to Close
SH601688,2020-07-10,22.96,Buy to Open
SH601698,2020-07-10,23.97,Buy to Cover
SH601766,2020-07-10,6.18,Short Sell
SH601788,2020-07-10,28.27,Buy to Cover
SH601808,2020-07-10,14.9,Sell to Close
SH601838,2020-07-10,9.53,Buy to Open
SH601877,2020-07-10,26.66,Short Sell
SH601881,2020-07-10,15.03,Buy to Cover
SH601888,2020-07-10,203.49,Buy to Open
SH601899,2020-07-10,5.66,Short Sell
SH601939,2020-07-10,6.55,Buy to Open
SH603019,2020-07-10,50.49,Buy to Open
SH603658,2020-07-10,160.0,Short Sell
SH603833,2020-07-10,120.4,Buy to Open
SZ000063,2020-07-10,44.94,Buy to Cover
SZ000157,2020-07-10,7.72,Buy to Open
SZ000661,2020-07-10,455.0,Sell to Close
SZ000703,2020-07-10,10.2,Sell to Close
SZ000725,2020-07-10,5.08,Buy to Cover
SZ000728,2020-07-10,11.35,Buy to Open
SZ000876,2020-07-10,31.99,Short Sell
SZ000895,2020-07-10,49.16,Sell to Close
SZ000895,2020-07-10,49.16,Short Sell
SZ000963,2020-07-10,28.78,Short Sell
SZ002001,2020-07-10,30.37,Sell to Close
SZ002007,2020-07-10,48.64,Sell to Close
SZ002044,2020-07-10,15.91,Short Sell
SZ002120,2020-07-10,25.86,Buy to Cover
SZ002153,2020-07-10,39.71,Sell to Close
SZ002179,2020-07-10,43.36,Short Sell
SZ002230,2020-07-10,41.13,Short Sell
SZ002304,2020-07-10,134.05,Buy to Open
SZ002311,2020-07-10,52.02,Sell to Close
SZ002352,2020-07-10,64.85,Buy to Cover
SZ002371,2020-07-10,221.3,Buy to Open
SZ002410,2020-07-10,75.05,Sell to Close
SZ002456,2020-07-10,20.72,Short Sell
SZ002463,2020-07-10,27.24,Short Sell
SZ002468,2020-07-10,17.46,Buy to Cover
SZ002493,2020-07-10,15.9,Sell to Close
SZ002508,2020-07-10,35.0,Buy to Cover
SZ002508,2020-07-10,35.0,Buy to Open
SZ002555,2020-07-10,48.99,Short Sell
SZ002594,2020-07-10,89.0,Buy to Cover
SZ002602,2020-07-10,17.12,Buy to Cover
SZ002624,2020-07-10,59.98,Sell to Close
SZ002736,2020-07-10,14.45,Buy to Open
SZ002739,2020-07-10,19.52,Buy to Open
SZ002773,2020-07-10,48.9,Short Sell
SZ002841,2020-07-10,106.5,Short Sell
SZ002916,2020-07-10,188.05,Buy to Cover
SZ002938,2020-07-10,52.25,Sell to Close
SZ002939,2020-07-10,15.51,Buy to Open
SZ003816,2020-07-10,3.15,Buy to Open
SZ300033,2020-07-10,172.18,Buy to Open
SZ300059,2020-07-10,25.63,Buy to Cover
